C,V1,V2,V3,V4,V5,V6,V7,V8
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,4,5,5
‚µ‚Ä‚¢‚é,5,5,4,4,4,5,5,4
‚µ‚Ä‚¢‚È‚¢,5,4,5,5,5,5,5,4
‚µ‚Ä‚¢‚È‚¢,5,5,4,5,5,5,4,5
‚µ‚Ä‚¢‚È‚¢,5,3,4,2,3,3,4,2
‚µ‚Ä‚¢‚È‚¢,5,5,3,5,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,3,4,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,5,5,5,5,5,5,3
‚µ‚Ä‚¢‚È‚¢,4,2,2,4,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,3,4,4,3,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,5,4,5,5,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,3,4,5,4
‚µ‚Ä‚¢‚È‚¢,5,4,5,4,4,5,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,5,4,5,4,5,5
‚µ‚Ä‚¢‚È‚¢,4,3,4,4,2,4,3,5
‚µ‚Ä‚¢‚È‚¢,5,4,4,4,3,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,4,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,4,2,1,3,3,5,5
‚µ‚Ä‚¢‚È‚¢,2,3,2,2,3,2,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,4,5
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,5,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,4,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,4,3,3,3,4,4,5,4
‚µ‚Ä‚¢‚é,3,4,4,4,4,3,4,3
‚µ‚Ä‚¢‚é,3,2,3,2,2,3,4,4
‚µ‚Ä‚¢‚é,3,4,1,2,3,2,2,5
‚µ‚Ä‚¢‚È‚¢,5,3,2,3,4,2,4,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚é,5,5,1,5,5,2,2,3
‚µ‚Ä‚¢‚é,5,4,4,4,2,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,5,4,5,5,3,5,5
‚µ‚Ä‚¢‚È‚¢,1,3,2,2,1,2,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,2,3,4,2,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,3,3,4,4,4,3
‚µ‚Ä‚¢‚é,4,2,4,2,3,4,3,5
‚µ‚Ä‚¢‚é,5,4,2,4,1,5,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,2,4,4,4,4,5
‚µ‚Ä‚¢‚È‚¢,5,4,1,1,4,4,5,5
‚µ‚Ä‚¢‚é,4,2,1,3,1,2,5,4
‚µ‚Ä‚¢‚é,5,4,4,5,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,3,3,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,3,2,3,3,4,3,4
‚µ‚Ä‚¢‚é,5,4,5,5,5,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,4,5,4,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,4,2,4,3,3,4,4
‚µ‚Ä‚¢‚È‚¢,2,3,3,4,3,3,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,2,4,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,3,4,4,5,4,4
‚µ‚Ä‚¢‚È‚¢,5,3,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,3,2,2,2,3,4,4
‚µ‚Ä‚¢‚È‚¢,2,1,1,2,2,2,2,2
‚µ‚Ä‚¢‚È‚¢,4,2,4,3,3,4,3,3
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,3,3,4,4
‚µ‚Ä‚¢‚È‚¢,1,1,2,1,1,2,3,3
‚µ‚Ä‚¢‚È‚¢,1,1,3,3,3,3,3,4
‚µ‚Ä‚¢‚È‚¢,3,3,2,3,3,3,4,3
‚µ‚Ä‚¢‚é,4,4,3,3,4,2,4,4
‚µ‚Ä‚¢‚È‚¢,4,4,3,4,4,4,5,4
‚µ‚Ä‚¢‚È‚¢,5,5,4,4,5,5,4,4
‚µ‚Ä‚¢‚È‚¢,4,3,3,4,4,3,4,4
‚µ‚Ä‚¢‚È‚¢,5,2,4,3,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,4,4,3,4,4,5,4,5
‚µ‚Ä‚¢‚È‚¢,5,4,4,5,5,5,4,5
‚µ‚Ä‚¢‚È‚¢,5,2,4,4,4,5,5,4
‚µ‚Ä‚¢‚È‚¢,4,3,2,3,3,3,4,3
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,2,3,3,3,4,4,4,4
‚µ‚Ä‚¢‚é,4,2,1,1,3,3,2,5
‚µ‚Ä‚¢‚È‚¢,4,4,3,5,5,5,4,5
‚µ‚Ä‚¢‚é,5,4,3,4,3,4,5,5
‚µ‚Ä‚¢‚é,1,3,1,1,4,2,3,4
‚µ‚Ä‚¢‚È‚¢,4,5,4,4,4,3,5,3
‚µ‚Ä‚¢‚È‚¢,5,3,2,2,3,3,5,4
‚µ‚Ä‚¢‚é,5,4,3,4,5,3,5,4
‚µ‚Ä‚¢‚é,4,3,3,3,4,2,4,4
‚µ‚Ä‚¢‚È‚¢,3,3,2,3,4,3,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,3,2,3,3,5,5
‚µ‚Ä‚¢‚é,4,2,3,3,4,2,4,4
‚µ‚Ä‚¢‚é,5,5,3,4,5,5,5,5
‚µ‚Ä‚¢‚é,4,3,3,3,3,3,5,4
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚é,5,5,5,5,5,5,5,4
‚µ‚Ä‚¢‚È‚¢,2,2,1,1,3,2,4,4
‚µ‚Ä‚¢‚é,5,5,5,5,4,3,5,5
‚µ‚Ä‚¢‚È‚¢,2,2,1,3,3,3,4,3
‚µ‚Ä‚¢‚È‚¢,5,2,3,3,3,3,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,5,5,5,4,5,5
‚µ‚Ä‚¢‚é,3,2,1,3,3,3,4,3
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,5,5,5,5
‚µ‚Ä‚¢‚é,5,2,2,3,5,5,5,5
‚µ‚Ä‚¢‚é,5,3,2,2,3,2,5,5
‚µ‚Ä‚¢‚é,5,5,4,5,4,4,4,4
‚µ‚Ä‚¢‚é,3,2,1,4,3,2,5,5
‚µ‚Ä‚¢‚é,4,4,2,4,4,4,5,4
‚µ‚Ä‚¢‚È‚¢,5,3,4,3,4,5,5,5
‚µ‚Ä‚¢‚È‚¢,4,4,4,3,4,3,5,5
‚µ‚Ä‚¢‚È‚¢,3,3,2,3,3,3,4,4
‚µ‚Ä‚¢‚é,4,4,3,4,3,3,1,3
‚µ‚Ä‚¢‚é,3,4,4,4,4,3,4,5
‚µ‚Ä‚¢‚È‚¢,4,5,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,4,3,3,3,4,3,3
‚µ‚Ä‚¢‚È‚¢,4,4,3,5,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,2,3,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,3,3,4,4,5,4
‚µ‚Ä‚¢‚é,5,4,4,4,4,5,5,5
‚µ‚Ä‚¢‚é,5,3,2,2,5,2,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,2,4,4,4,5,5
‚µ‚Ä‚¢‚é,5,4,4,4,5,5,5,4
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,4,3,4
‚µ‚Ä‚¢‚È‚¢,5,5,3,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,3,3,4,5,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,2,2,2,4,3,4,4
‚µ‚Ä‚¢‚é,3,5,2,3,3,4,4,5
‚µ‚Ä‚¢‚È‚¢,4,5,4,4,3,3,4,5
‚µ‚Ä‚¢‚È‚¢,5,4,4,5,5,2,5,5
‚µ‚Ä‚¢‚È‚¢,4,4,4,5,5,4,5,5
‚µ‚Ä‚¢‚È‚¢,4,3,2,3,3,3,4,5
‚µ‚Ä‚¢‚È‚¢,3,4,4,3,3,3,4,4
‚µ‚Ä‚¢‚é,5,5,5,5,4,4,5,5
‚µ‚Ä‚¢‚È‚¢,4,3,2,4,3,3,4,4
‚µ‚Ä‚¢‚é,4,4,2,3,3,3,4,4
‚µ‚Ä‚¢‚é,5,3,2,3,5,4,5,5
‚µ‚Ä‚¢‚é,2,3,2,3,2,2,1,1
‚µ‚Ä‚¢‚é,3,4,3,2,2,3,3,3
‚µ‚Ä‚¢‚é,4,3,3,3,3,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,4,5,4,5,5,5
‚µ‚Ä‚¢‚é,5,2,5,5,5,4,5,5
‚µ‚Ä‚¢‚é,5,1,1,5,2,3,4,3
‚µ‚Ä‚¢‚é,4,1,2,1,3,3,5,5
‚µ‚Ä‚¢‚é,3,3,2,3,4,4,4,2
‚µ‚Ä‚¢‚é,1,3,2,3,4,3,4,4
‚µ‚Ä‚¢‚È‚¢,3,3,3,2,3,3,2,5
‚µ‚Ä‚¢‚é,5,5,5,5,4,5,5,3
‚µ‚Ä‚¢‚é,1,3,3,2,2,1,1,1
‚µ‚Ä‚¢‚é,4,4,4,4,4,5,4,4
‚µ‚Ä‚¢‚È‚¢,3,4,4,4,4,3,4,4
‚µ‚Ä‚¢‚È‚¢,4,1,1,1,2,2,4,5
‚µ‚Ä‚¢‚È‚¢,5,3,4,3,4,5,5,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,3,2,2,1,4,2,5
‚µ‚Ä‚¢‚È‚¢,4,4,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,4,4,4,5,4,5
‚µ‚Ä‚¢‚é,4,5,4,5,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,3,5,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,4,4,5,5,5,5
‚µ‚Ä‚¢‚é,4,4,4,3,4,3,5,5
‚µ‚Ä‚¢‚È‚¢,5,2,4,4,4,2,5,5
‚µ‚Ä‚¢‚È‚¢,5,4,4,5,5,5,5,5
‚µ‚Ä‚¢‚é,5,5,4,4,5,4,5,5
‚µ‚Ä‚¢‚é,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚é,2,4,2,2,4,5,5,5
‚µ‚Ä‚¢‚é,1,5,4,3,3,2,3,4
‚µ‚Ä‚¢‚é,5,3,3,3,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,3,2,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,4,5,3,3,4,3,4,5
‚µ‚Ä‚¢‚È‚¢,5,4,4,4,5,5,5,5
‚µ‚Ä‚¢‚é,5,4,2,4,5,5,1,5
‚µ‚Ä‚¢‚é,4,3,3,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,4,4,3,4,5,4,5
‚µ‚Ä‚¢‚é,3,4,2,3,4,4,5,5
‚µ‚Ä‚¢‚é,4,4,4,5,4,3,4,5
‚µ‚Ä‚¢‚é,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,5,3,3,3,3,3,3
‚µ‚Ä‚¢‚È‚¢,3,3,4,3,4,4,3,5
‚µ‚Ä‚¢‚é,2,3,3,3,3,2,2,2
‚µ‚Ä‚¢‚é,3,3,3,3,3,3,4,5
‚µ‚Ä‚¢‚é,3,3,3,4,4,3,4,5
‚µ‚Ä‚¢‚é,5,4,3,3,3,3,5,4
‚µ‚Ä‚¢‚é,4,3,4,3,3,2,5,5
‚µ‚Ä‚¢‚È‚¢,5,3,3,3,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,4,4,4,5,5,5,5
‚µ‚Ä‚¢‚È‚¢,3,3,3,3,4,4,3,5
‚µ‚Ä‚¢‚È‚¢,4,5,4,4,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,4,3,3,3,4,5,3,5
‚µ‚Ä‚¢‚È‚¢,5,5,5,5,5,5,5,5
‚µ‚Ä‚¢‚é,5,5,4,5,4,5,5,4
‚µ‚Ä‚¢‚È‚¢,3,3,3,3,2,3,3,4
‚µ‚Ä‚¢‚È‚¢,5,5,4,5,4,4,4,4
‚µ‚Ä‚¢‚È‚¢,5,3,2,4,5,5,4,5
‚µ‚Ä‚¢‚é,5,4,3,4,4,4,4,5
‚µ‚Ä‚¢‚È‚¢,5,3,4,4,3,3,2,4
‚µ‚Ä‚¢‚é,3,4,5,3,3,2,4,5
‚µ‚Ä‚¢‚È‚¢,5,3,4,4,4,4,4,5
